Timestamp, Temperatura, Umidita
11:20:44, 26.6, 45.0
11:21:04, 26.2, 44.0
11:21:24, 26.2, 44.0
11:21:44, 26.2, 44.0
11:22:04, 26.2, 43.0
11:22:24, 26.2, 43.0
11:22:44, 26.2, 42.0
11:23:04, 26.2, 42.0
11:23:24, 26.2, 43.0
11:23:44, 25.8, 44.0
11:24:04, 25.3, 44.0
11:24:24, 25.3, 44.0
11:24:44, 24.8, 44.0
11:25:04, 24.8, 44.0
11:25:24, 25.3, 44.0
11:25:44, 25.3, 46.0
11:26:04, 25.3, 44.0
11:26:24, 25.3, 44.0
11:26:44, 25.3, 43.0
11:27:04, 25.3, 43.0
11:27:24, 25.8, 43.0
11:27:44, 25.8, 43.0
11:28:04, 25.8, 43.0
11:28:24, 25.8, 44.0
